"experiment_id","alpha","target_coverage","empirical_coverage","coverage_difference","tau","n_estimators","n_active_estimators","pruning_rate","accuracy","fidelity","in_region_fidelity","oracle_calls","runtime_sec"
"C2_A005","0.05","0.95","0.93006993006993","-0.0199300699300698","9.52844433486417","10","10","0","0.902097902097902","1","1","5","1.18363919993863"
"C2_A010","0.1","0.9","0.874125874125874","-0.0258741258741259","7.70463470649553","10","9","0.1","0.902097902097902","1","1","3","0.675496499985456"
"C2_A020","0.2","0.8","0.804195804195804","0.00419580419580412","6.65597310620126","10","9","0.1","0.902097902097902","1","1","3","0.675203100079671"
"C2_A040","0.4","0.6","0.545454545454545","-0.0545454545454546","3.91090989225586","10","8","0.2","0.895104895104895","0.993006993006993","1","1","0.426483599934727"
"C2_A080","0.8","0.2","0.216783216783217","0.0167832167832168","2.50063141611764","10","8","0.2","0.895104895104895","0.993006993006993","1","1","0.407591599971056"
