"experiment_id","alpha","empirical_coverage","fidelity","in_region_fidelity","n_estimators","n_active_estimators","pruning_rate"
"C2_A005","0.05","0.93006993006993","1","1","10","10","0"
"C2_A010","0.1","0.874125874125874","1","1","10","9","0.1"
"C2_A020","0.2","0.804195804195804","1","1","10","9","0.1"
"C2_A040","0.4","0.545454545454545","0.993006993006993","1","10","8","0.2"
"C2_A080","0.8","0.216783216783217","0.993006993006993","1","10","8","0.2"
